Lue koko uutinen ( Talouselämä ) Laihian 	Osuuspankki 	siirtyy POP Pankki - ryhmästä OP Pohjola - ryhmään , kertoo Pohjalainen . 
Yt-jenkka soi tasaisesti läpi lokakuun niin kovalla voluumilla , että ihan tässä korvia särkee : 1.10 YT-pommi Tiedolta : jopa 350 henkilölle potkut 1.10 HKScanin henkilöstön määrä vähenee yli 50 : llä 1.10 Valio vahvistaa yt : t : jopa 210 voi saada potkut 1.10 Fonecta Media käynnistää yt-neuvottelut 1.10 Mehiläinen vähentää 17 työntekijää 1.10 KSF Media irtisanoo 19 , lisäksi 29 työpaikkaa leikataan henkilöstöjärjestelyin 2.10 Rovio saneeraa , 130 : tä uhkaavat potkut Suomessa 2.10 Traktorivalmistaja Valtra saattaa vähentää 150 työntekijää Äänekoskella 2.10 Sievin jalkine aloittaa 500 hengen yt-neuvottelut 2.10 Miktech Oy aloittaa yt-neuvottelut 2.10 Solteq aloittaa yt-neuvottelut 2.10 Säteilyturvakeskus STUK aloittaa yt : t - potkut noin 30 : lle 2.10 Säkylä aloittaa koko henkilöstöä koskevat yt-neuvottelut 2.10 Keski-Suomen ELY-keskus käynnisti yt-neuvottelut 2.10 Sote aloitti laboratorion henkilöstöä koskevat yt-neuvottelut 3.10 Cargotecin Kalmar aloitti yt-neuvottelut – 65 työpaikkaa uhattuna , joista 30 Suomessa 3.10 Lindorff voi irtisanoa jopa 28 työntekijää Suomessa 3.10 Kesälahden 	Osuuspankin 	yt : t päättyivät 3.10 Koulutusyhtymä irtisanoo , myy kiinteistöjä ja karsii opetusta Keski-Pohjanmaalla 3.10 Laukamo aloittaa yt-neuvottelut 4.10 Rajavartijat muutaman päivän pakkolomalle 6.10 VEO irtisanoo 20 tuotannon työntekijää 6.10 Vexve sulkee Liperin tehtaan – työt loppuvat 26 ihmiseltä 6.10 Ilmastointiyritys Fläkt Woods vähentää 60 työntekijää ja sulkee tehtaan Kihniössä 6.10 Kleemolan koululle yt-neuvottelut Toholammilla 6.10 Mediasepät käynnistää yt-neuvottelut 6.10 Kyyhkylä lomauttaa henkilöstönsä kahdeksi viikoksi 7.10 Kesko saattaa vähentää jopa 279 työpaikkaa 7.10 Neste Oil vähentää jopa 250 työpaikkaa 7.10 Honkarakenne jälleen yt-kierrokselle 7.10 Finnlines aloitti yt-neuvottelut – luvassa potkuja tai lomautuksia 7.10 Top-Sport lirissä : liikkeitä suljetaan , 140 henkilön yt : t 7.10 Bore-varustamo myy kuusi alusta , irtisanoo yli 19 7.10 Pohjois-Karjalan suurin mainostoimisto lomauttaa työntekijöitään 7.10 Kaivosyhtiö Northland lopettaa kaiken toimintansa 7.10 Joutsen Mediassa YT-neuvottelut 7.10 Pohjois-Pohjanmaan Sairaanhoitopiiri vähentää henkilöstöä kehitysvammahuollosta 8.10 Ahlstromin Kauttuan tehtaalla yt-neuvottelut 8.10 Taas pörssifirma yt-neuvottelee : Apetit leikkaa jopa 20 8.10 Iltalehden yt-neuvottelut päättyivät - potkut puolelle kuvaajista ja taittajista 8.10 Porvoo nostaa veroja ja vähentää reippaasti henkilökuntaa 8.10 Evira aloittaa yt-neuvottelut : vähennystarve 86 , koko henkilöstö saatetaan lomauttaa 8.10 Karelia-ammattikorkeakoulu aloittaa yt-neuvottelut Joensuussa 8.10 Vaasan museoissa yt-neuvottelut 9.10 Reino ja Aino Kotikenkä aloittaa yt-neuvottelut Lieksassa 9.10 Aspocomp lakkauttamassa Teuvan tehtaan - yt-kutsu kävi 9.10 A-klinikkasäätiön yt : t päätökseen : 400 lomautetaan ja kuusi irtisanotaan 9.10 Diakonialaitos vähentää 18 työntekijää sotainvalidien sairaskodista 9.10 TOK sulkemassa kolme keskustaravintolaa Turussa 9.10 Nokian Renkaiden yt-neuvottelut ohi – lomautuksia tulossa 9.10 Mannerheimin lastensuojeluliitto yt-neuvotteluihin 9.10 Reimalta marssittiin ulos – viidelle potkut 9.10 Isoworks irtisanoo , lomauttaa ja osa-aikaistaa 10.10 Itella irtisanoo 239 työntekijää 10.10 Vammalan aluesairaalan sairaalahuollon yt-neuvottelut päätökseen 10.10 Kemijärven S-Marketissa käydään yt-neuvotteluja 10.10 Sappi vähentää väkeä Lohjan tehtaaltaan 13.10 Laine-Tuotanto lomauttaa osan henkilöstöstään Vaasassa 13.10 M-Brain aloittaa yt-neuvottelut - 70 työpaikkaa vaarassa 13.10 Satakunnan Osuuskauppa aloittaa 26 työntekijää koskevat yt-neuvottelut 13.10 Nanso Group aloittaa yt-neuvottelut 14.10 Pajalan kaivosyhtiö irtisanoo 240 14.10 Mondi irtisanoo enintään 55 , paperikone ykkönen suljetaan 14.10 DNA : n yt-neuvotteluissa päädyttiin irtisanomaan 65 työntekijää 14.10 Sanoma vähentää 34 työntekijää 14.10 Mattiovelta Alavudelta joutuu lähtemään 28 15.10 Viafor irtisanoo Virolahdella 15.10 Seinäjoen teräspalvelukeskus lomauttaa 15.10 Fazer leikkaa 49 työpaikkaa 15.10 Vammalan aluesairaalan päivystyksen yt-neuvottelut alkoivat 15.10 Esa Lehtipainon yt-neuvottelut päättyivät : Viisi työsuhdetta päättyy 
Myös 	Osuuspankki 	ja Danske Bank kertoivat , että maksujen siirto on alkanut . 
	Osuuspankin 	viestintäjohtajan Carina Geber-Teirin mukaan syyt ongelmiin löytyvät kansainvälisistä yhteyksistä , mutta tarkkaa tietoa syystä ei toistaiseksi ole . 
Hänen mukaansa 	Osuuspankki 	pyrkii päivittämään tietoja Twitteriin heti ongelmien syiden selvittyä . 
	Osuuspankki 	myy Pohjolan vakuutuksia . 
Lue koko uutinen ( Uusi Suomi ) Asiakkaiden tileille tulossa olevat maksut ovat tänään myöhässä , tiedottaa 	Osuuspankki 	Twitterissä . 
	Osuuspankin 	viestintäjohtajan Carina Geber-Teirin mukaan syyt ongelmiin löytyvät kansainvälisistä yhteyksistä , mutta tarkkaa tietoa syystä ei toistaiseksi ole . 
Hänen mukaansa 	Osuuspankki 	pyrkii päivittämään tietoja Twitteriin heti ongelmien syiden selvittyä . 
Myös 	Osuuspankki 	ja Danske Bank kertoivat , että maksujen siirto on alkanut . 
Mitä näyttäisit laukaasta turistille Ehdottomasti 	osuuspankin 	rappusten tenuremmin . 
Kyllä pitäisi hälytyskellojen soida Lappajärven 	osuuspankin 	jäsenillä ja luottamusmiehillä , katastrohvi on aivan nurkan takana . 
niimpä , kun sen vaan ymmärtäis Lappajärven 	osuuspankin 	hallinto , pop ryhmässä alkaa nyt lehdet varista tosissaan ryhmä pienenee koko ajan 
Sopimuksen toteutuessa Joroisten 	Osuuspankin 	koko omapääoma säilyy osuuskunnalla ja sen jäsenten päätäntävalassa . 
Joroisten 	Osuuspankki 	jatkaa toimintaansa täysin itsenäisenä jäsentensä omistamana omistaja- ja sijoittajaosuuskuntana . 
Siirretään rahat vimpelin 	osuuspankkiin 	, 
Osuuskauppa 	osuuspankin 	kiinteistöt . 
Ei taida Kunnilla ja Kivitipulla eikä 	Osuuspankilla 	riittää riittävään lanseeraukseen paljoakaan panoksia . 
Lappajärvellä on sellainen ihmeellinen tapa , että kaikki pitää olla itsenäistä jos olis pysytty op-ryhmässä ei näitä ongelmia olis johan sen näkee miten hyvin alajärvellä ja vimpelissä pyyhkii 	osuuspankeilla 	, mutta mitään ei opita päätä hakataan petäjään . 
Ehkä Laihian Op/Pankkiryhmä murenee Pohjalainen 17.12.2014 " Nyt loikkasi Laihian 	Osuuspankki 	
Lappajärven 	Osuuspankki 	, 
Talouselämä 14.05.2014 S-Pankki on 	osuuspankeille 	vakavin uhka vuosikymmeniin , sillä pelissä on maakuntien herruus . 
Vimpelissä ainakin jakkupukuiset naiset kiertelivät Lappajärven 	osuuspankin 	haltuun joutunutta vanhaa huoltoasemaa ja lauantaina siellä oli aika iso siivoustyömaa käynnissä , ilmeisesti Lappajärven palomiehet oli kutsuttu apuun sitä siivoamaan ... 
Lukekaa hyvät ihmiset Lappajärven Op : n ylimääräisen osuuskunnan kokouksen käsiteltävät asiat 16.12.2014 ja kohta 	OSUUSPANKILLA 	ON KUITENKIN OIKEUS KIELTÄYTYÄ JÄSENOSUUSMAKSUJEN POP-OSUUKSISTA SUORITETTUJEN MAKSUJEN PALAUTTAMISESTA OSUUSPANKIN TOIMINNAN AIKANA 
Lukekaa hyvät ihmiset Lappajärven Op : n ylimääräisen osuuskunnan kokouksen käsiteltävät asiat 16.12.2014 ja kohta OSUUSPANKILLA ON KUITENKIN OIKEUS KIELTÄYTYÄ JÄSENOSUUSMAKSUJEN POP-OSUUKSISTA SUORITETTUJEN MAKSUJEN PALAUTTAMISESTA 	OSUUSPANKIN 	TOIMINNAN AIKANA 
Jos sun äidillä on 	osuuspankin 	pankkikortti jossa on niin sen pitäis kans käydä 
ei pitäny sitä kirjottaa mut tosiaan tekstiviestillä pystyy ja sit 	osuuspankin 	pankkikortti jos sun äidillä on sillä pystyy ostamaan 
Jäsenet on niinkuin 	osuuspankin 	jäseniä joille jaetaan muruset . 
Onneksi joku hieno ihminen oli löytänyt avaimen ja vienyt sen läheisen 	Osuuspankin 	tiskille . 
Olin etsimisestä aivan poikki ja lapsikin itkeskeli sylissäni , kun menin 	Osuuspankkiin 	, 
	Osuuspankki 	on vähän niinkuin osuuskauppakin , siellä ollaan vain töissä , niin kauan kuin ollaan . 
miten se tapahtuu 	osuuspankissa 	? 
ilmeisesti etelä-suomen pl tutkii teidän kirjoittamianne potaska juttujanne ja aikoo nostaa asian japanin 	osuuspankin 	kanssa kanteen , kertoo andreas nordea ! 
palvelua saa 	osuuspankista 	siltä inisevältä hiireltä . 
Mä kävin kanssa eilen siis 31.3.2011 Kellokosken 	osuuspankin 	automaatilla nostamassa rahaa ja siellä oli kanssa tälläinen lahjoita rahaa plan suomelle ! 
miksi pielisen 	osuuspankki 	ja nordea eivät anna eläkeläisen pitää tiliä pankissaan2008-2014 , kuinka toimia , kun kortti on lukkiutunut , nosto automaatilla ei onnistu , ja miten maksaa laskuja ilman pankkia ???????? 
eli maitoa 93.tunto 94.tuhonnut wtc : n 95.esso , 	osuuspankki 	, tarmon lähikauppa , paljon käpyjä :) 
Jos nyt olisi samassa tilanteessa , että hallussa 100 ha päätehakkuu ( 300 m3/ha ) ikäistä metsää , kyllä se 	osuuspankki 	kutsuisi teatteriretkelle edelleen .................. 
Jotain ' 	osuuspankin 	merkkejä ' yms. tunnistamattomia kirjaimia . 
Mitä edellä tässä momentissa säädetään , sovelletaan myös siirrettäessä kiinteistö säästöpankkilain ( 1502/2001 ) 90– 92 § : ssä tai 	osuuspankeista 	ja muista osuuskuntamuotoisista luottolaitoksista annetun lain ( 1504/2001 ) 31 ja 32 § : ssä tarkoitetuissa tapauksissa toimintaa jatkamaan perustettavalle luottolaitokselle . 
Vuokranantaja voi nostaa ne rahat millon tahansa ilman sen kummempia perusteluita , ainakin 	Osuuspankin 	sivuilla olevissa vuokravakuustilin ohjeissa luki näin , kun viimeksi asiaa tutkin . 
Marginaaleissa on nimittäin valtavat erot , itse kilpailutis sampo : n , nordean , 	osuuspankin 	, säästöpankin , aktian ja paikallis osuuspankin . 
Marginaaleissa on nimittäin valtavat erot , itse kilpailutis sampo : n , nordean , osuuspankin , säästöpankin , aktian ja paikallis 	osuuspankin 	, 
	Osuuspankki 	on vielä auki ja sieltä saan päätöksen ensi viikolla . 
Onko 	Osuuspankin 	laitteet hankittu Jenkeistä vai Venäjältä ? 
aika paljon asioita 	osuuspankissa 	.. 
Ei se 	osuuspankille 	kuulu , jos elän vedonlyönnillä . 
	Osuuspankissa 	ei ole ketään , jota kiinnostaisi pätkääkään sinun peliharrastuksesi . 
Mihin 	osuuspankilla 	voi enää tallettaa ? 
... Laatupalkinto ( jaettu ) vuonna 2000 Kerman Savi Oy ja Varkauden 	Osuuspankki 	, 
	Osuuspankkiin 	ei ikinä , johtaja ##### !!! 
	Osuuspankista 	en tiedä ! 
	Osuuspankissa 	aivan sama palvelu .... 
Onko poliisitalo evakuoitu entäs 	Osuuspankki 	no kiinnihän se jo on tähän aikaan ? 
Kolmi miestä seisoskeli 	osuuspankin 	nurkalla , haisivat sonnalle ja puhuivat tukiaisista , mitähän porukkaa lienuvät olleen ?. 
Kyse oli hotelli Menninkäisen kaupasta , Menninkäisen omistaa suomalainen konkurssipesä , velkojina mm. 	Osuuspankki 	, 
Eli 	osuuspankkiin 	tai säästikseen tili , kiitos !! 
Vähennystarve Suomessa on yli 200 työntekijä " 3.10.13 " Tuulivoimayhtiö Winwind konkurssiin - n. 150 irtisanotaan " 4.10.13 " Accenture aikoo karsia enintään 70 työpaikkaa " 7.10.13 " Elisa ulkoistamassa työtä intialaisyhtiöön ja irtisanomassa satoja " 8.10.13 " Aktia aloittaa yt-neuvottelut – vähentää lähes sata " 10.10.13 " Keski-Suomen 	Osuuspankki 	aloittaa yt-neuvottelut - vähennystarve 25 " 10.10.13 " Taas isot potkut Suomessa : Empower irtisanoo 130 " 
Jos et , niin palautus haettava 	Osuuspankin 	konttorista . 
Jos tilinumeroa ei ole ilmoitettu Verohallinnolle , palautus maksetaan maksuosoituksena eli rahalähetyksenä 10.12.2014 alkaen OP-Pohjola-ryhmän 	osuuspankin 	konttorista . 
Maksuosoituksena maksettavat veronpalautukset ovat nostettavissa OP-Pohjola-ryhmän 	osuuspankkien 	konttoreista 10.-12.12. alkaen . 
Tämän jälkeen voit nostaa veronpalautuksen mistä tahansa OP-Pohjola-ryhmän 	osuuspankin 	konttorista Suomessa . 
2 ) " Tämän jälkeen voit nostaa veronpalautuksen mistä tahansa OP-Pohjola-ryhmän 	osuuspankin 	konttorista Suomessa . 
Huomasin tuon saman 	Osuuspankin 	verkossa laskuja maksamassa . 
Ensin tallensin paikalliseen 	osuuspankkiin 	kaikki neljännekset , mitä pitikin . 
Rahat saapuivat paikallisesta 	osuuspankista 	toiseen pankkiin kaupantekohetken aikana , vasta kun kauppakirja oli skannattu osuuspankkiin . 
Rahat saapuivat paikallisesta osuuspankista toiseen pankkiin kaupantekohetken aikana , vasta kun kauppakirja oli skannattu 	osuuspankkiin 	, 
Paikallisen pankkimme esitteessä kirjoitetaan " 	Osuuspankkisi 	on päättänyt Tuotto-osuusannista 2014- 2015 . 
Niin , ja kampanjointi voi olla vaikka kuinka laajaa , mutta niitä tuotto-osuuksia ei voi ostaa , jos ei ole ko. 	osuuspankin 	omistajajäsen . 
Eikös tuo tuotto osuus vastaa vanhaa 	osuuspankin 	osuusmaksun lisäosuutta - &gt ; saatu korko on tällä hetkellä 1500 euroon verovapaata . 
Mutta tässä 	osuuspankin 	tapauksessa Helsingin OP : n debentuurilaina on tehty matkimaan muiden osuuspankkien tuotto-osuuksia . 
Mutta tässä osuuspankin tapauksessa Helsingin OP : n debentuurilaina on tehty matkimaan muiden 	osuuspankkien 	tuotto-osuuksia . 
Helsingin OP on osakeyhtiö , eikä sillä siten tietenkään voi olla osuuksia niin kuin osuuskuntamuotoisilla 	osuuspankeilla 	, mutta he tahtovat tarjota vastaavanlaista sijoitusmahdollisuutta omille asiakkailleen . 
Näin siis ainakin 	Osuuspankilla 	, 
Huom : 	Osuuspankit 	ovat " yksi pankki " ja samoin myös Säästöpankit , vaikka niillä onkin eri yhtiöt . 
Paikallisosuuspankit ovat oma pankkinsa ja 	osuuspankki 	( ilman sanaa paikallis ) oma pankkinsa ja näillä kahdella on täysin erilaiset verkkopankit , logot ja kaikki muukin . 
Itse olen siirtänyt rahaa 	osuuspankin 	ja paikallisosuuspankin välillä ja rahan siirtoon menee pari päivää . 
Paikallisosuuspankit ovat aikanaan varsinaisesta 	osuuspankista 	irtautunut ryhmä , katso vaikka historiaa . 
Esimerkiksi Turun 	osuuspankki 	kuuluu osuuspankki-ryhmään ja Liedon osuuspankki paikallisosuuspankit-ryhmään . 
Esimerkiksi Turun osuuspankki kuuluu osuuspankki-ryhmään ja Liedon 	osuuspankki 	paikallisosuuspankit-ryhmään . 
fi ja 	osuuspankin 	op . 
Kun itse siirsin asuntolainan juvalta rantasalmen 	osuuspankkiin 	, maksu oli nolla eur . 
Rantasalmen 	Osuuspankissa 	vaihtui johtaja kun Vesa Auvine jäi sairaseläkkeelle . 
Pankkiryhmä murenee - Pohjalainen : Nyt loikkasi Laihian 	Osuuspankki 	
Niin ja palatakseni asiaan , yritä 	osuuspankin 	kautta . 
	Osuuspankki 	on liian hajanainen isäntä , Toholammen OP : n isännistö ei pysty repeämään joka suuntaan . 
Tällä hetkellä tilanne on kuitenkin muuttunut , eläkevakuutustoiminta siirtyi 	Osuuspankin 	hoitoon . 
Skandia myytiin 	osuuspankille 	joka tulee siirtämään kaikki vakuutuksissa olevat varat omiin rahastoihinsa seuraavan 2 vuoden aikana - &gt ; alexandrian rahastot ja rahastoista tulevat palkkiot loppuvat . 
tässä ote 	osuuspankin 	sivuilta : Mikäli hinnastossa ei ole mainittu jotakin pankkipalvelua , voidaan palkkio silti veloittaa ja soveltaa palkkioperusteena esim. käytettyä työaikaa . 
