Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Tämä matkatoimisto on nyt jo veloittanut minun omalta 	Nordean 	pankkitililtäni aivan just päällekäin minun nimelläni olevaa kaksi eri reissua nyt tammikuun 2015 ensimmäiselle viikolle siis eri kellonaikaan , mutta samana uuden vuoden aattopäivänä Helsinki/Vantaalta lähteviin lentokoneisiin , niin että kun minä--siis yksi ja sama ihminen voin nyt käytännössä lähteä vain jommalla kummalla lentokoneella , kun eihä kukaan yksin voi jakaantua kahteen eri koneeseen , niin että toinen näistä lennoista lähtee vain tyhjällä istumapaikalla , mutta siis sekin paikka jo valmiiksi minun maksamanani . 
Uuni/liesitaso paketti oli tosi edullinen ja maksoin siis kaikki 	nordean 	verkkopankki maksulla heti tilatessa . 
Maksunkaan kirjautuminen ei luulisi pitkään kestävän kun 	Nordeasta 	maksaa Nordeaan , tosin viitenumeroa ei ollut . 
Maksunkaan kirjautuminen ei luulisi pitkään kestävän kun Nordeasta maksaa 	Nordeaan 	, tosin viitenumeroa ei ollut . 
Varapuheenjohtajat ovat 	Nordea 	Suomen maajohtaja Ari Kapari ja LähiTapiolan pääjohtaja Erkki Moisander . 
	Nordean 	mukaan ongelman syynä on SEPA-järjestelmän vika . 
Tämä puoltaa odotuksia ensi keväänä kasvavasta osinkopotista , toteaa 	Nordea 	viikkokatsauksessaan . 
com sivuston kautta , ja pumppaa rahaa 	Nordean 	tililleen . 
Lue koko uutinen ( Kouvolan Sanomat ) 	Nordea 	muuttaa vähittäispankkinsa alue- ja johtamisrakennetta koko maassa . 
Alueen neljä yrityskonttoria Lappeenrannassa , Lahdessa , Kouvolassa ja Kotkassa muodostavat yritysalueen , jonka vetäjänä Danske Bankista 	Nordeaan 	siirtyvä Henry Udd aloittaa vuoden 2015 alussa . 
	Nordean 	uuden Kaakkois-Suomen alueen aluejohtajaksi nimitettiin aiemmin Antti Hyvärinen , joka ottaa liiketoimintavastuun henkilöasiakkaista sekä vastaa alueella yhteiskuntasuhteista ja alueella toimivien Nordean yksiköiden yhteistyöstä . 
Nordean uuden Kaakkois-Suomen alueen aluejohtajaksi nimitettiin aiemmin Antti Hyvärinen , joka ottaa liiketoimintavastuun henkilöasiakkaista sekä vastaa alueella yhteiskuntasuhteista ja alueella toimivien 	Nordean 	yksiköiden yhteistyöstä . 
Danske Bank ennusti vastikään ensi vuoden kasvuksi 0 , 5 prosenttia , mutta 	Nordea 	oli sitä mieltä , että talous on miinuksella 0 , 3 prosenttia . 
	Nordean 	sovellus päivittyi niin sinne tuli semmoinen kuin maksupyyntö . 
Meillä on tallelokero 	Nordeassa 	, 
Halvemmalla saisi jos kuuluuisi johonkin 	Nordean 	etuohjelmaan . 
Ei ole kyllä päätilitkään 	Nordeassa 	, 
Todennäköisesti kuulut pankin johonkin etuohjelmaan , jotta saat holvin tuohon hintaan tai sitten 	Nordea 	rokottaa enemmän . 
Meillä on pankkina Handelsbanken ja konttorissamme ei ole tallelokeroja , joten tuo 	Nordea 	, jossa sattumoisin on myös yksi kuiva tili tuli vaihtoehtona lokerolle siksi . 
Unohtanut 	Nordean 	avainasiakas maksoi vuodesta 2005 20E . 
Ehdotinkin tuolle virkailijalle , että 	Nordea 	saisi sarjoittaa uusiksi kaikki tallelokeronsa , Jos Abloyta halutaan käyttää , paras olisi silloin Abloy Protec , jonka patenttisuoja on voimassa myös jonnekin 2020-luvulle . 
Keskikokoinen lokeroni 	Nordeassa 	maksaa 1,25€/kk jos omaisuudenhoitomaksu tarkoittaa sitä . 
Pitääkö 	Nordeaan 	avata tili jotta saa tallelokeron ? 
Täällä on 	Nordean 	lokeroiden hinnat : http://www.nordea.fi/henkil%C3%B6asiakkaat/s%C3%A4%C3%A4st%C3%B6t/hinnat+tallelokerot/1011122.html Halvin hinta on 40€/vuosi . 
	Nordean 	hinnastossa ei luonnollisestikaan näy lukkosepän hintoja , nehän voivat olla mitä vain . 
Lukkoseppä veloittaa jotain ja 	Nordea 	vielä sen lisäksi , jos lukko pitää porata auki . 
Minun lokero on noin kahden kenkälaatikon kokoinen , ja maksoi 	Nordeassa 	30 euroa . 
Kyse on 	Nordean 	pankin tallelokero lomakkeista . 
meillä maksaa 100€/vuosi ja 	nordea 	pankissa on . 
	Nordeaan 	on kuulemma tulossa kevään aikana muutos , eli jatkossa ainakin tilisaldo olisi pelkän salasanan takana . 
Mobiilivarmennus on käytössä myös ainakin 	Nordeassa 	Kaikki pankit tuputtaa tuotteitaan aina kun pääsevät kosketuksiin asiakkaan kanssa . 
Mulle tuli täytenä yllätyksenä kevättalvella 	Nordean 	perimät maksut jopa siitä , kun katsoo tilin saldon noston jälkeen automaatilla . 
OP-Pohjola ja 	Nordea 	) on varmaan , että asuntojen hinnat romahtaisivat merkittävästi . 
Haloo vanhuksen pitäisi nauttia säästöistään itse eikä ruokkia tässä tapauksessa 	NORDEAN 	sijoitus myyjän manipuloinnista . 
Siis tässä tapauksessa 	nordean 	sijoitusneuvoja suositteli 82 vuotiaalle rahastosijoituksia . 
Fiksummat ovat ostaneet 	Nordean 	osakkeita . 
Eikös 	Nordea 	sitten ole suomalainen ? 
Vertaa 	Nordeaa 	, joka on oikea kansainvälinen pankki . 
Sen sijaan kilpailijalla 	Nordealla 	on aivan erilainen politiikka . 
Ennen uusimista olimme samassa tilanteessa kuin OP-Pohjola nyt , mutta halusimme säilyttää monta eri maksukanavaa , Jukka Hieta 	Nordeasta 	kertoi . 
	Nordea 	on ruotsalainen 
Osalla on tullut 	Nordeaan 	palkat , osalla ei . 
Koskahan 	Nordealla 	aletaan hanskaamaan tämä tiedottaminen ? 
	Nordean 	sivuilla ei mitään tietoa häiriöstä . 
Lottovoitto tuli 	Nordean 	tilille 
Lue koko uutinen ( Helsingin Sanomat ) 	Nordea 	on ottamassa uudet tunnistautumisvälineet käyttöön 1.2.2015 josta kertovassa viestissään se ei kuitenkaan tarkemmin yksilöi mistä on kyse , eli jättää asiakkaan arpomaan mielessään millaisesta muutoksesta on kyse . 
Alla 	Nordean 	teksti lainattuna . 
Kuvaus ehtoihin tehdyistä muutoksista sekä nykyiset ja uudet 1.2.2015 voimaan tulevat ehdot saat osoitteessa 	nordea 	, 
Lue koko uutinen ( Helsingin Sanomat ) Unohdin 	nordean 	verkkopankkin järjestysnumeroon . 
Katso Nordnet / Lynx / IB sijoituskohteista ja omista toiveista riippuen ( noista Nordnet kallein mutta toimittaa tiedot verottajalle suunnilleen oikein ) 3. Visa-korttien muuttamisesta Mastereiksi on kyllä tiedotettu , jopa minä olen asian huomannut vaikkei minulla 	Nordean 	Visaa olekaan . 
	Nordean 	verkkopankin oikeassa laidassa on paikka tiedotteille . 
Mulle ainakin tuli 	Nordea 	verkkopankkiin 2-3 postia siitä , että visat muuttuu mastereiksi . 
Menin heti tarkistamaan 	Nordea-verkkopankin 	ja siellä oli iTunes katevaraus 1,98 € . 
Apple tilin tilaushistoria näyttää tyhjää joten miten voi olla iTunesilta katevaraus 1,98 € 	Nordea-verkkopankissa 	? 
	Nordea 	pankki ei vastaa moisista tilien tyhjentämisistä mitenkään , kaikki on asiakkaan omia asioita ? 
Miten 	Nordea 	voi tehdä asiakkailleen tällä tavalla että ei kerro edes sivuillaan huijauksen mahdollisuudesta jos makselee netissä , sillä sellaista ei kukaan osaa varoa tai tiedä , että tilille mennään ja nostetaan juuri sellaisia ALLE 50€ : n summia jotka eivät vaadi tarkistuksia . 
	Nordean 	verkkopankki ilmoittaa itsepintaisesti , että tunnusluku ei täsmää tämän tarkistusnumerosarjan kanssa . 
Ei 	Nordealla 	ole tunnusluku-tarkistusnumerosarja vertailua ? 
	Nordealla 	ON tottakai verkkopankki ! 
Selvennys : siis 	Nordeapankin 	käyttäjätunnus ( eli verkkopankin asiakasnumero ) ja tunnusluku ( pankista saadusta tunnuslukutaulukosta ) eivät täsmänneet vaikka yritin useasti . 
Minulle kävi tämä sama 	Nordeatemppu 	eilen . 
Tiedätkö Sinä Miksi 	Nordea 	verkkopankki ei toimi ?? 
toimiiko sinulla 	nordean 	verkkopankin kirjautumissivu ( tekstiversio kyllä pelaa ) ? 
ittu kun tämä ei edes ole 	Nordea-ongelma 	, vaan johtuu laajemmasta häiriöstä eurooppalaisessa maksujärjestelmässä ja koskee kaikkia pankkeja 
	”Nordea 	Asiakaspalvelu palvelee henkilöasiakkaita päivittäisissä pankkiasioissa ympäri vuorokauden , vuoden jokaisena päivänä ... 
Iloista Joulun odotusta kaikille 	Nordean 	" asiakaspalvelusta " huolimatta . 
	Nordeaan 	voi olla yhteydessä myös chatin kautta 
Tällä taapaa 	Nordea 	korsenissa kuinka on muissa pankeissa hommat asiakkaalle Jujutettu . =) 
| STT Nyt on asia sillä lailla että 	Nordean 	avainasiakkuudesta putoaa pois jos mm. lainan ja säästöjen yhteenlaskettu arvo on alle 30 000 euroa . 
Toisaalta kun periaatteenani on jättää pankille mieluiten pelkät kuraiset kengänjäljet aulaan niin mikä olisi tehokkain tapa venkoilla 	nordean 	koukusta ? 
	Nordeassa 	on myös parin kuukauden nettopalkka Korkoekstra-tilillä jolle maksetaan 1% : n korkoa . 
Samalla olisi tarkoitus lisätä maltillisesti muualla olevia osakeomistuksia , mutta tuo korkoekstra mahdollistaisi riskittömyyden ja 	Nordeasta 	irtautumisen kertarysäyksellä . 
Ainakin reilu vuosi sitten 	Nordealla 	oli puolen vuoden siirtymäaika , eli vaikka laina + säästöt putosi alle tuon 30 000 euron , jatkui avainasiakkaan edut vielä 6 kk . 
Itse päädyin siirtämään raha-asiani tuon 6 kk : n aikana S-Pankkiin ja irtisanoin 	Nordean 	kortin . 
Aikaisemmin olisin suositellut laittamaan rahat 	Nordean 	Maailma-indeksirahastoon , mutta nykyään sen hintaero halvimpaan verrokkiinsa ( iShares core world - etf Nordnetin kuukausisäästöllä ) taitaa olla jo varsin pienilläkin säästösummilla suurempi kuin luottokortin vuosimaksu . 
Nämä on erittäin helposti saavutettavissa esim. Nordnet vs 	Nordea 	- vertailuparissa . 
Toinen kysymys sitten on , kannattaako ( edes ) niistä peruspalveluista maksaa 	Nordealle 	, 
	Nordean 	omistaja 
Minulla on tili yms 	nordealla 	, shekki on säästöpankin . 
Legendaarisen huonossa maineessa oleva pankkisiirto 	Nordea 	- joku toinen pankki . 
Mutta ei tuo ole mikään 	Nordean 	synti , vaan normaali käytäntö kaikissa pankeissa . 
Lue koko uutinen ( V2.fi ) Pankki on 	Nordea 	suomi . 
Onnistuuko rahan nosto Tallinnassa 	Nordean 	konttorissa ? 
Mitä jos soittaisit sinne 	Nordea 	puhelinpalveluun ? 
Onkohan tämä 	Nordealta 	joku Premium-asiakkaan " etuus " , että tivaavat henk kohtaisia raha-asioita ? 
	Nordean 	ja Nordnetin lomakkeet olen ainakin täyttänyt . 
Jos 	Nordean 	täti ei onnistunut myymään sinulle mitään sijoituskohdetta , sinulla on nyt loistava mahdollisuus perehtyä itse asioihin ja välttää ainakin pahimmat ryöstökohteet . 
Jokunen vuosi sitten sovin naapurikaupungin 	Nordean 	sijoitusasiantuntijan kanssa tapaamisen lähikonttoriin . 
" Onkohan tämä 	Nordealta 	joku Premium-asiakkaan " etuus " , " on se etuus , mekin ostettiin uus auto pelkillä tuotoilla , tai ei kaikkia tuottoakaan käytetty . 
	Nordean 	duunarit poistuivat työpaikalta , koska pahoittivat mielensä tulevien potkujen takia . 
	Nordea 	aloittaa henkilökohtaiset yt-neuvottelut 112 kanssa . 
Huvikseni katsoin 	Nordean 	Venäjä-rahaston kehitystä . 
Siankinkkua nassutellen , sohjoa kolaten ja 	Nordea-rahoituksen 	omistamalla Skodalla tapaninajelulle ? 
Siankinkkua nassutellen , sohjoa kolaten ja 	Nordea-rahoituksen 	omistamalla Skodalla tapaninajelulle ? 
Lue koko uutinen ( Etelä-Saimaa ) 	Nordea 	muuttaa vähittäispankkinsa alue- ja johtamisrakennetta koko maassa . 
Alueen neljä yrityskonttoria Lappeenrannassa , Lahdessa , Kouvolassa ja Kotkassa muodostavat yritysalueen , jonka vetäjänä Danske Bankista 	Nordeaan 	siirtyvä Henry Udd aloittaa vuoden 2015 alussa . 
	Nordean 	uuden Kaakkois-Suomen alueen aluejohtajaksi nimitettiin aiemmin Antti Hyvärinen , joka ottaa liiketoimintavastuun henkilöasiakkaista sekä vastaa alueella yhteiskuntasuhteista ja alueella toimivien Nordean yksiköiden yhteistyöstä . 
Nordean uuden Kaakkois-Suomen alueen aluejohtajaksi nimitettiin aiemmin Antti Hyvärinen , joka ottaa liiketoimintavastuun henkilöasiakkaista sekä vastaa alueella yhteiskuntasuhteista ja alueella toimivien 	Nordean 	yksiköiden yhteistyöstä . 
Suomalaiset osanottajat toimialoittain Tiedotusvälineet Aatos Erkko ( 1994 , Sanoman hallituksen pj ) Janne Virkkunen ( 1998 , 2001 , Helsingin Sanomien vastaava päätoimittaja ) Olli Kivinen ( 2003 , Helsingin Sanomien pääkirjoitustoimittaja ) Mikael Pentikäinen ( 2005 Sanoma Newsin tj , 2011 Helsingin Sanomien vastaava päätoimittaja ) Atte Jääskeläinen ( 2007 , Ylen uutistoiminnan päätoimittaja ) Antti Blåfield ( 2008 , 2010 pääkirjoitustoimitus , Helsingin Sanomat ) Hanna Rajalahti ( 2009 , Talouselämän toimituspäällikkö ) Politiikot Ulf Sundqvist ( 1992 , Sdp : n puheenjohtaja ) Esko Aho ( 1994 , pääministeri , kesk ) Martti Ahtisaari ( 1994–1996 , presidentti ) Sauli Niinistö ( 1997 , valtiovarainministeri , kok ) Paavo Lipponen ( 1998 , 2000–2001 pääministeri , 2003–2004 Sdp : n puheenjohtaja ) Olli-Pekka Heinonen ( 2001 , liikenne- ja viestintäministeri , kok ) Paula Lehtomäki ( 2004 , ulkomaankauppa- ja kehitysministeri , kesk ) Eero Heinäluoma ( 2006 , valtiovarainministeri , sd ) Jyrki Katainen ( 2007 , 2009–2010 , valtiovarainministeri , kok ) Matti Vanhanen ( 2009 , pääministeri , kesk ) Jutta Urpilainen ( 2012–2013 , valtiovarainministeri , sd ) Teollisuus Johan Nykopp ( 1962 , 1964 , Tampellan tj ) Jorma Ollila ( 1994 , 1997–2013 , Nokian tj , hallituksen pj , Shellin hallituksen pj ) Krister Ahlström ( 1994 , Ahlströmin pääjohtaja ) Georg Ehrnrooth ( 1994 , Metran konsernijohtaja ) Jaakko Ihamuotila ( 1994 , Nesteen tj ) Gerhard Wendt ( 1994 , Koneen toimitusjohtaja ) Björn Mattsson ( 1995 , Cultorin tj ) Jukka Härmälä* ( 1995 , Enso-Gutzeitin tj ) Christoffer Taxell ( 2002 , eronnut Partekin konsernijohtajan toimesta ) Ole Johansson ( 2011 , Wärtsilän konsernijohtaja ) Risto Siilasmaa ( 2012 , Nokian hallituksen pj ) Työnantajajärjestöt Jaakko Iloniemi ( 1991–1997 , Elinkeinoelämän valtuuskunnan tj ) Jarl Köhler ( 1992–1994 , Metsäteollisuuden keskusliiton tj ) Johannes Koroma ( 1993 , Teollisuuden ja työnantajain keskusliiton tj ) Max Jakobson ( 1994 , eläkkeellä Elinkeinoelämän valtuuskunnasta ) Pentti Vartia ( 1999 , Elinkeinoelämän tutkimuslaitoksen tj ) Sixten Korkman ( 2006 , Elinkeinoelämän tutkimuslaitoksen tj ) Matti Apunen ( 2011–2013 , Elinkeinoelämän valtuuskunnan Evan johtaja ) Pankit Sirkka Hämäläinen ( 1994 , Suomen Pankin pääj ) Pertti Voutilainen ( 1995 , Merita Pankin tj ) Matti Vanhala ( 1999 , Suomen Pankin pääj ) Björn Wahlroos ( 2003 Sammon konsernijohtaja , 2010 	Nordean 	hallituksen varapj ) Erkki Liikanen ( 1999 EU-komission jäsen , 2005 Suomen Pankin pääj ) Seppo Honkapohja ( 2008 , Suomen Pankin johtokunnan jäsen ) Olli Heinonen ( 2013 , Harvardin yliopiston asiantuntija ) Tutkijat Klaus Waris ( 1980 , Helsingin kauppakorkeakoulun kansleri ) Teija Tiilikainen ( 2002 pääministerin erityisavustaja EU : n tulevaisuuskonventissa , 2005 Helsingin yliopiston Eurooppa-tutkimuksen verkoston johtaja , 2007 poliittinen valtiosihteeri ) Raimo Väyrynen ( 2008 , Ulkopoliittisen instituutin johtaja ) * ) Valtiovarainministeri Jutta Urpilaisen 2011 julkistamassa listassa on " Jukka Harmaja " , mutta se tarkoittanee Jukka Härmälää . 
	Nordean 	pääekonomisti Aki Kangasharju pitää Venäjän keskuspankin koronnostopäätöstä merkkinä siitä , että talouden tilanne Venäjällä on menossa todella huonoon suuntaan . 
	Nordea 	: Suomen talous supistuu neljä vuotta putkeen 
Kauppalehti 	17.11.2014/Nordea 	Pk-yritysten lainahanat menevät pankkien sääntelyn takia kiinni 
	Nordea 	markkinavoimat-blogissa talouden ja markkinoiden ykkösasiantuntijat kertovat , miten asiat oikeasti ovat , EKP : N pankkivero EKP on lyönyt lisää löylyä spekulaatioihin uusista elvytystoimista Ennustavat EKP : n laskevan kesäkuussa ohjauskorkoa ja talletuskorkoa . 
Kortti on 	nordea 	visa elektro . 
Verkko-ostokset onnistuvat 	Nordean 	MasterCard- ja Visa - kortilla , kun rekisteröit korttisi verkkomaksukelpoiseksi . 
Pari vuotta sitten 	Nordean 	verkkopankki ei suostunut avaamaan Firefox-selaimessa Foxit Readerillä pdf-tiedostoja , vaikka kaikki muut pdf-tiedostot avautuivat . 
Kävin " kirjeenvaihtoa " 	Nordean 	kanssa asiasta . 
	Nordea 	ei ollut koskaan kuullutkaan Foxit Readeristä , mutta he asensivat sen omalle koneelleen . 
Ei saanut 	Nordeankaan 	Firefoxin ja Foxit Readerin yhdistelmällä omia pdf-tiedostojaan auki . 
Käytin vuoden verran IE : tä lähes pelkästään 	Nordean 	pdf-tiedostojen avaamiseen . 
Sitten Firefoxiin tehtiin oma pdf-lukija , joka avasi 	Nordeankin 	tiedostot . 
Nyt 	Nordean 	on saanut ongelman ratkaistua , sillä nykyisin Firefox + Foxit Reader avaa Nordeankin kaikki tiedostot . 
Nyt Nordean on saanut ongelman ratkaistua , sillä nykyisin Firefox + Foxit Reader avaa 	Nordeankin 	kaikki tiedostot . 
Vaihtokärjessä nousevat Nokia , 	Nordea 	ja Sampo . 
Lainaus Kauppalehdestä 3.12.2014 " 	Nordean 	pääekonomisti Aki Kangasharju ehdottaa radikaaleja toimia Suomen kilpailukyvyn palauttamiseksi . 
Lue koko uutinen ( Ilta-Sanomat ) 	Nordean 	pääekonomisti Aki Kangasharju pitää Venäjän keskuspankin koronnostopäätöstä merkkinä siitä , että talouden tilanne Venäjällä on menossa todella huonoon suuntaan . 
Sanna Kurronen , analyytikko , 	Nordea 	Pankki , 7.11.2014 : ”Venäjä karistaa riippuvuuttaan öljyn hinnasta Venäjä on siirtynyt lähes kelluvaan valuuttaan . 
Viikkoa myöhemmin katevaraus näkyy edelleen luottokortilla , koska 	Nordea 	ei voi sitä Bravoflyn puolelta peruuttaa . 
Mia Mari Johanna Tukiainen Aitini on yksi 	Nordea 	pankin johtajista , ei ihan sielta tyhmimmastakaan paasta . 
Rahan nosto esim. 	Nordean 	kortilla on 0,75 ja S-pankin kortilla kuulemma 2,25€ . 
	Nordea 	oli ennen Suomen yhdyspankki eli S Y P. 
Jokohan 	nordean 	taikaseinä ehtyi kun oli laitettu vanerilevyt siihen päälle , tai paikalle paremminkin ? 
Kirjauduin verkkopankkiini ( 	Nordea 	) . 
